Entity,Year,CO2_Emissions
Bahamas,2000,3.078110766
Bahamas,2001,3.025903196
Bahamas,2002,3.275796559
Bahamas,2003,2.410776538
Bahamas,2004,2.571060268
Bahamas,2005,2.501061374
Bahamas,2008,3.801239808
Bahamas,2009,3.120917285
Bahamas,2010,3.491093344
Bahamas,2011,2.297641561
Bahamas,2012,2.708346095
Bahamas,2013,2.878984993
Bahamas,2014,2.972027057
Bahamas,2015,2.906997867
Bahamas,2016,3.209081187
Bahamas,2017,3.517676735
Bahamas,2018,3.928019413
Bahamas,2019,4.489516691
Bahamas,2020,3.631054178
Congo,2000,0.037148981
Congo,2001,0.034987674
Congo,2002,0.035601513
Congo,2003,0.041887207
Congo,2004,0.038845399
Congo,2005,0.04223002
Congo,2008,0.044904025
Congo,2009,0.042301062
Congo,2010,0.042944421
Congo,2011,0.04753469
Congo,2012,0.041160545
Congo,2013,0.05533228
Congo,2014,0.068696139
Congo,2015,0.043078634
Congo,2016,0.032039243
Congo,2017,0.03593337
Congo,2018,0.034456204
Congo,2019,0.036090289
Congo,2020,0.03602667
Egypt,2000,1.750199129
Egypt,2001,1.891426153
Egypt,2002,1.901352845
Egypt,2003,1.899082364
Egypt,2004,2.018352553
Egypt,2005,2.19951901
Egypt,2008,2.352712938
Egypt,2009,2.403782485
Egypt,2010,2.373937498
Egypt,2011,2.407781695
Egypt,2012,2.500416456
Egypt,2013,2.399352513
Egypt,2014,2.389995047
Egypt,2015,2.403603301
Egypt,2016,2.460508744
Egypt,2017,2.527353571
Egypt,2018,2.427799169
Egypt,2019,2.204155642
Egypt,2020,2.069140954
Gambia,2000,0.184319256
Gambia,2001,0.198058743
Gambia,2002,0.200365829
Gambia,2003,0.198147706
Gambia,2004,0.201071725
Gambia,2005,0.198735841
Gambia,2008,0.215804147
Gambia,2009,0.232497
Gambia,2010,0.229779459
Gambia,2011,0.235761555
Gambia,2012,0.220401019
Gambia,2013,0.214752213
Gambia,2014,0.223974927
Gambia,2015,0.226699674
Gambia,2016,0.222614459
Gambia,2017,0.218727011
Gambia,2018,0.215491375
Gambia,2019,0.227690484
Gambia,2020,0.233450847
Puerto Rico,2000,6.608924305
Puerto Rico,2001,6.510780685
Puerto Rico,2002,5.268089738
Puerto Rico,2003,6.830515186
Puerto Rico,2004,6.841765011
Puerto Rico,2005,6.885581633
Puerto Rico,2008,4.093897523
Puerto Rico,2009,3.735633259
Puerto Rico,2010,3.609729882
Puerto Rico,2011,3.171554764
Puerto Rico,2012,3.119421498
Puerto Rico,2013,3.044243138
Puerto Rico,2014,3.256580008
Puerto Rico,2015,3.482951902
Puerto Rico,2016,3.331491849
Puerto Rico,2017,3.497383383
Puerto Rico,2018,4.289220675
Puerto Rico,2019,3.946276631
Puerto Rico,2020,3.805967716
Saint Kitts and Nevis,2000,1.093971004
Saint Kitts and Nevis,2001,1.1035598
Saint Kitts and Nevis,2002,1.249456758
Saint Kitts and Nevis,2003,1.297210672
Saint Kitts and Nevis,2004,1.407751268
Saint Kitts and Nevis,2005,1.307147318
Saint Kitts and Nevis,2008,1.714529732
Saint Kitts and Nevis,2009,1.926847984
Saint Kitts and Nevis,2010,2.104768817
Saint Kitts and Nevis,2011,1.657211108
Saint Kitts and Nevis,2012,1.694554887
Saint Kitts and Nevis,2013,1.931207376
Saint Kitts and Nevis,2014,2.064176347
Saint Kitts and Nevis,2015,2.161955529
Saint Kitts and Nevis,2016,2.366436537
Saint Kitts and Nevis,2017,2.208289054
Saint Kitts and Nevis,2018,2.312372362
Saint Kitts and Nevis,2019,2.660163571
Saint Kitts and Nevis,2020,2.163430766
Saint Lucia,2000,0.608387552
Saint Lucia,2001,0.645294158
Saint Lucia,2002,0.601332583
Saint Lucia,2003,0.694580797
Saint Lucia,2004,0.667320186
Saint Lucia,2005,0.695678453
Saint Lucia,2008,0.885029146
Saint Lucia,2009,0.947789179
Saint Lucia,2010,1.064912876
Saint Lucia,2011,0.820134924
Saint Lucia,2012,0.843632487
Saint Lucia,2013,0.960379307
Saint Lucia,2014,1.019306527
Saint Lucia,2015,1.041136617
Saint Lucia,2016,1.116450133
Saint Lucia,2017,1.111476563
Saint Lucia,2018,1.056960631
Saint Lucia,2019,1.756153573
Saint Lucia,2020,1.420476858
Saint Vincent and the Grenadines,2000,0.366374565
Saint Vincent and the Grenadines,2001,0.425546911
Saint Vincent and the Grenadines,2002,0.48876459
Saint Vincent and the Grenadines,2003,0.528544029
Saint Vincent and the Grenadines,2004,0.568086143
Saint Vincent and the Grenadines,2005,0.586038239
Saint Vincent and the Grenadines,2008,0.732247721
Saint Vincent and the Grenadines,2009,1.121185797
Saint Vincent and the Grenadines,2010,0.880328122
Saint Vincent and the Grenadines,2011,0.626434627
Saint Vincent and the Grenadines,2012,0.801942319
Saint Vincent and the Grenadines,2013,0.75923614
Saint Vincent and the Grenadines,2014,0.855535407
Saint Vincent and the Grenadines,2015,0.887247569
Saint Vincent and the Grenadines,2016,0.949703335
Saint Vincent and the Grenadines,2017,1.031581538
Saint Vincent and the Grenadines,2018,0.969254522
Saint Vincent and the Grenadines,2019,0.973436885
Saint Vincent and the Grenadines,2020,0.794003439
Turkey,2000,3.47027994
Turkey,2001,3.120552503
Turkey,2002,3.241916577
Turkey,2003,3.386052516
Turkey,2004,3.438657254
Turkey,2005,3.549305818
Turkey,2008,4.21561191
Turkey,2009,4.183302631
Turkey,2010,4.267659619
Turkey,2011,4.482810993
Turkey,2012,4.577613759
Turkey,2013,4.384122346
Turkey,2014,4.604101139
Turkey,2015,4.702266072
Turkey,2016,4.934894769
Turkey,2017,5.393643979
Turkey,2018,5.268730271
Turkey,2019,5.008961068
Turkey,2020,5.070409816
Yemen,2000,0.802287346
Yemen,2001,0.829100075
Yemen,2002,0.807080902
Yemen,2003,0.910447191
Yemen,2004,0.92507108
Yemen,2005,0.966288629
Yemen,2008,1.005338456
Yemen,2009,1.065816652
Yemen,2010,0.984657208
Yemen,2011,0.833853674
Yemen,2012,0.773794512
Yemen,2013,0.982040294
Yemen,2014,0.938063592
Yemen,2015,0.457351862
Yemen,2016,0.331022352
Yemen,2017,0.314049887
Yemen,2018,0.356586038
Yemen,2019,0.355001429
Yemen,2020,0.318360139
