Entity,Year,GDP_Growth,GDP_Per_Capita
Bahamas,2000,4.148419308,24940.07751
Bahamas,2001,2.626009827,25371.92377
Bahamas,2002,2.704956247,26781.61959
Bahamas,2003,-1.264916676,26429.12478
Bahamas,2004,0.882373745,26650.29342
Bahamas,2005,3.396084205,28602.41819
Bahamas,2006,2.516592217,29184.78651
Bahamas,2007,1.446099912,30051.84896
Bahamas,2008,-2.32364807,29392.38244
Bahamas,2009,-4.175428056,27512.9131
Bahamas,2010,1.538662487,27473.10043
Bahamas,2011,0.613170736,27090.83768
Bahamas,2012,2.997903207,28552.02427
Bahamas,2013,-2.863309257,27432.95343
Bahamas,2014,1.847260843,28705.61708
Bahamas,2015,0.996758611,30289.40225
Bahamas,2016,-0.961908777,30266.58592
Bahamas,2017,2.799518639,31337.18325
Bahamas,2018,2.62988986,32124.40511
Bahamas,2019,-1.357265209,32979.54013
Bahamas,2020,-21.42346307,25155.67254
Cayman Islands,2000,..,..
Cayman Islands,2001,..,..
Cayman Islands,2002,..,..
Cayman Islands,2003,..,..
Cayman Islands,2004,..,..
Cayman Islands,2005,..,..
Cayman Islands,2006,..,87085.09374
Cayman Islands,2007,3.162625227,89888.26182
Cayman Islands,2008,-0.357401201,89655.11962
Cayman Islands,2009,-7.200482447,81373.57115
Cayman Islands,2010,-2.715635262,76837.66996
Cayman Islands,2011,1.169062198,75280.96076
Cayman Islands,2012,1.229753657,75101.59136
Cayman Islands,2013,1.27933102,75113.73324
Cayman Islands,2014,2.654527985,75845.30604
Cayman Islands,2015,2.833122226,76379.20951
Cayman Islands,2016,3.239974339,77802.25416
Cayman Islands,2017,3.184045923,80053.94445
Cayman Islands,2018,4.267267452,83865.55316
Cayman Islands,2019,3.915635342,88254.29037
Cayman Islands,2020,-4.954806408,82338.79829
Czechia,2000,4.010669619,6062.921528
Czechia,2001,2.917219546,6669.074948
Czechia,2002,1.513459483,8101.260186
Czechia,2003,3.300836831,9852.456779
Czechia,2004,4.736339704,11782.55467
Czechia,2005,6.375028858,13442.49163
Czechia,2006,6.623172985,15259.07882
Czechia,2007,5.488825961,18452.65328
Czechia,2008,2.612268052,22774.70451
Czechia,2009,-4.798324168,19817.42158
Czechia,2010,2.714665115,20160.43551
Czechia,2011,1.772380837,22049.10808
Czechia,2012,-0.770668176,20014.0354
Czechia,2013,-0.041812408,20260.4955
Czechia,2014,2.245212186,20038.41632
Czechia,2015,4.95875849,17931.59877
Czechia,2016,2.580870147,18753.96867
Czechia,2017,5.173565288,20913.19763
Czechia,2018,2.830305894,23705.93298
Czechia,2019,3.565776572,24062.719
Czechia,2020,-5.304879546,23472.89155
Djibouti,2000,..,737.6121836
Djibouti,2001,..,742.1337911
Djibouti,2002,..,743.0132704
Djibouti,2003,..,764.6344652
Djibouti,2004,..,806.2616529
Djibouti,2005,..,844.4483574
Djibouti,2006,..,898.4646281
Djibouti,2007,..,969.5732202
Djibouti,2008,..,1119.152333
Djibouti,2009,..,1150.937586
Djibouti,2010,..,1213.233526
Djibouti,2011,..,1306.345528
Djibouti,2012,..,1400.193579
Djibouti,2013,..,2074.296689
Djibouti,2014,7.061543242,2208.678103
Djibouti,2015,7.526108919,2376.125547
Djibouti,2016,7.123432337,2510.430008
Djibouti,2017,5.458091517,2618.955211
Djibouti,2018,4.774416888,2718.085323
Djibouti,2019,5.5451306,2837.171033
Djibouti,2020,1.316363242,2881.999245
Eritrea,2000,-3.141985903,314.3573968
Eritrea,2001,8.755435528,325.4091615
Eritrea,2002,3.005429192,304.7757565
Eritrea,2003,-2.655515925,348.9503271
Eritrea,2004,1.451735566,426.8409479
Eritrea,2005,2.574449551,412.7530792
Eritrea,2006,-0.969217111,447.9974047
Eritrea,2007,1.426822211,480.4476237
Eritrea,2008,-9.783030018,490.066956
Eritrea,2009,3.876501528,642.9257229
Eritrea,2010,2.194190349,539.6995121
Eritrea,2011,8.679800101,688.6816596
Eritrea,2012,..,..
Eritrea,2013,..,..
Eritrea,2014,..,..
Eritrea,2015,..,..
Eritrea,2016,..,..
Eritrea,2017,..,..
Eritrea,2018,..,..
Eritrea,2019,..,..
Eritrea,2020,..,..
Gambia,2000,5.500000216,538.0540723
Gambia,2001,5.800000243,459.8030684
Gambia,2002,-3.25000015,376.531027
Gambia,2003,6.869999622,308.7191234
Gambia,2004,7.050000001,593.2853463
Gambia,2005,-2.351729362,616.4836579
Gambia,2006,-0.555580977,614.5443079
Gambia,2007,3.043249508,724.7264072
Gambia,2008,6.255905534,859.1276714
Gambia,2009,6.665724308,774.8880309
Gambia,2010,5.90833581,801.0333727
Gambia,2011,-8.130444223,710.6084115
Gambia,2012,5.241569246,692.5793616
Gambia,2013,2.87276879,653.8627133
Gambia,2014,-1.407382495,568.0045356
Gambia,2015,4.058073804,619.5363643
Gambia,2016,1.943359655,650.0565013
Gambia,2017,4.822611249,642.5226413
Gambia,2018,7.234890333,696.219807
Gambia,2019,6.22205316,738.186752
Gambia,2020,0.591487288,720.3351434
Nauru,2000,-6.856193232,2648.601529
Nauru,2001,-6.761117247,2232.30874
Nauru,2002,-9.97126891,2084.648245
Nauru,2003,0.284637232,2463.282591
Nauru,2004,-4.314906396,3040.513499
Nauru,2005,-0.355648874,2992.403828
Nauru,2006,8.328760806,2910.141458
Nauru,2007,-22.18530498,2272.152913
Nauru,2008,20.38090759,3756.845312
Nauru,2009,-5.6519328,4410.567647
Nauru,2010,-0.159976911,4735.920005
Nauru,2011,14.39463342,6480.904513
Nauru,2012,25.2793205,9817.368722
Nauru,2013,3.647740417,8974.518869
Nauru,2014,16.42333564,9193.097844
Nauru,2015,2.698017274,7703.431499
Nauru,2016,4.363240539,8724.307003
Nauru,2017,-6.011229987,9613.412091
Nauru,2018,-1.219122015,11408.69476
Nauru,2019,8.486736592,10776.82846
Nauru,2020,1.981819494,10695.69933
New Caledonia,2000,2.100108827,15329.72972
New Caledonia,2001,..,14482.36063
New Caledonia,2002,..,16104.55204
New Caledonia,2003,..,20768.10615
New Caledonia,2004,..,24475.64885
New Caledonia,2005,..,25528.29184
New Caledonia,2006,..,28193.25376
New Caledonia,2007,..,35177.65353
New Caledonia,2008,..,35723.90332
New Caledonia,2009,..,33836.49408
New Caledonia,2010,..,35798.90848
New Caledonia,2011,..,38835.94019
New Caledonia,2012,..,35559.5672
New Caledonia,2013,..,36671.15668
New Caledonia,2014,..,37816.95586
New Caledonia,2015,..,30858.72371
New Caledonia,2016,..,30782.85444
New Caledonia,2017,..,32354.71028
New Caledonia,2018,3.995707282,34902.89688
New Caledonia,2019,-1.400000002,33411.33588
New Caledonia,2020,-2.400000001,33270.3306
Somalia,2000,7.110314311,386.1192744
Somalia,2001,7.110314311,244.9148425
Somalia,2002,7.630267293,229.5989183
Somalia,2003,7.630267293,286.2730252
Somalia,2004,7.110314311,375.4103262
Somalia,2005,7.110314311,439.9799078
Somalia,2006,6.486370733,457.9966622
Somalia,2007,6.694351926,479.6356281
Somalia,2008,6.694351926,507.0374433
Somalia,2009,6.694351926,246.5132517
Somalia,2010,6.694351926,219.2024539
Somalia,2011,6.694351926,235.3259456
Somalia,2012,6.694351926,350.2619467
Somalia,2013,10.95929145,393.398705
Somalia,2014,8.978005906,429.431656
Somalia,2015,10.46218841,445.5830786
Somalia,2016,7.034872974,460.928492
Somalia,2017,14.73579515,510.939953
Somalia,2018,2.054314856,509.5258024
Somalia,2019,2.824313365,539.8939316
Somalia,2020,-2.752481039,518.1847785
South Sudan,2000,..,..
South Sudan,2001,..,..
South Sudan,2002,..,..
South Sudan,2003,..,..
South Sudan,2004,..,..
South Sudan,2005,..,..
South Sudan,2006,..,..
South Sudan,2007,..,..
South Sudan,2008,..,1654.211535
South Sudan,2009,5.04164188,1323.220687
South Sudan,2010,5.493416395,1498.27035
South Sudan,2011,-4.640316736,1448.98435
South Sudan,2012,-46.08212237,1109.260501
South Sudan,2013,13.12973114,1650.189434
South Sudan,2014,3.373648477,1242.734502
South Sudan,2015,-10.79336463,1080.147186
South Sudan,2016,..,..
South Sudan,2017,..,..
South Sudan,2018,..,..
South Sudan,2019,..,..
South Sudan,2020,..,..
Saint Kitts and Nevis,2000,10.04280842,9319.655451
Saint Kitts and Nevis,2001,5.25344983,10022.59192
Saint Kitts and Nevis,2002,1.367715073,10453.65871
Saint Kitts and Nevis,2003,-3.93339486,10175.62954
Saint Kitts and Nevis,2004,3.996346661,10944.61837
Saint Kitts and Nevis,2005,9.732820703,11783.78672
Saint Kitts and Nevis,2006,3.1503812,13837.84953
Saint Kitts and Nevis,2007,0.600602327,14757.95798
Saint Kitts and Nevis,2008,11.31703583,16604.94486
Saint Kitts and Nevis,2009,-3.404740154,16503.41193
Saint Kitts and Nevis,2010,-0.054194207,16622.94579
Saint Kitts and Nevis,2011,1.616607304,17832.45729
Saint Kitts and Nevis,2012,-0.737636737,17532.0559
Saint Kitts and Nevis,2013,5.727280872,18580.13019
Saint Kitts and Nevis,2014,7.576966023,20219.39542
Saint Kitts and Nevis,2015,0.694135528,20328.80035
Saint Kitts and Nevis,2016,3.932703193,21387.54155
Saint Kitts and Nevis,2017,0.220941147,22464.98996
Saint Kitts and Nevis,2018,2.003525498,22901.38164
Saint Kitts and Nevis,2019,2.831267379,23595.49232
Saint Kitts and Nevis,2020,-15.35445176,18859.01904
Saint Lucia,2000,0.048748554,5879.561914
Saint Lucia,2001,-3.408063962,5570.452471
Saint Lucia,2002,0.416450493,5567.894284
Saint Lucia,2003,4.264611487,6058.606221
Saint Lucia,2004,7.26740887,6494.600349
Saint Lucia,2005,-0.410304726,6863.436419
Saint Lucia,2006,6.195257291,7611.178567
Saint Lucia,2007,1.691618574,7964.382115
Saint Lucia,2008,4.94932194,8516.960755
Saint Lucia,2009,-2.828899548,8250.521807
Saint Lucia,2010,0.330018546,8673.687203
Saint Lucia,2011,4.326942805,9128.99442
Saint Lucia,2012,-0.108756148,9260.300066
Saint Lucia,2013,-2.005024374,9576.234634
Saint Lucia,2014,1.520874352,10044.82184
Saint Lucia,2015,0.100928143,10334.92256
Saint Lucia,2016,3.428096951,10638.1902
Saint Lucia,2017,3.381374723,11333.19639
Saint Lucia,2018,2.886197652,11642.74032
Saint Lucia,2019,-0.700859002,11794.20565
Saint Lucia,2020,-24.36115535,8411.199418
Saint Vincent and the Grenadines,2000,1.639031904,3768.955366
Saint Vincent and the Grenadines,2001,1.74823102,4071.086011
Saint Vincent and the Grenadines,2002,5.342127074,4303.279768
Saint Vincent and the Grenadines,2003,6.691336654,4499.614542
Saint Vincent and the Grenadines,2004,4.114698804,4873.489477
Saint Vincent and the Grenadines,2005,2.488557339,5157.393739
Saint Vincent and the Grenadines,2006,6.996926268,5744.827862
Saint Vincent and the Grenadines,2007,3.322968598,6398.191235
Saint Vincent and the Grenadines,2008,0.404640809,6598.905315
Saint Vincent and the Grenadines,2009,-1.378193606,6463.787773
Saint Vincent and the Grenadines,2010,-4.470467935,6551.96836
Saint Vincent and the Grenadines,2011,-0.606276651,6527.689969
Saint Vincent and the Grenadines,2012,1.169112184,6713.807686
Saint Vincent and the Grenadines,2013,2.462484172,7072.467372
Saint Vincent and the Grenadines,2014,1.250254369,7168.828753
Saint Vincent and the Grenadines,2015,2.783161194,7353.735561
Saint Vincent and the Grenadines,2016,4.145931682,7656.900429
Saint Vincent and the Grenadines,2017,1.448830634,7988.04445
Saint Vincent and the Grenadines,2018,3.175611442,8428.126772
Saint Vincent and the Grenadines,2019,0.661727444,8743.332021
Saint Vincent and the Grenadines,2020,-3.739145992,8395.099889
Yemen,2000,6.181915593,493.2351826
Yemen,2001,3.803645872,487.1412579
Yemen,2002,3.935231505,513.2414866
Yemen,2003,3.747398185,548.905883
Yemen,2004,3.972696401,627.6320234
Yemen,2005,5.591748076,734.1599085
Yemen,2006,3.170409359,809.7131276
Yemen,2007,3.338427956,890.3057681
Yemen,2008,3.64756947,1071.635833
Yemen,2009,3.866229516,969.2435099
Yemen,2010,7.70230704,1155.203053
Yemen,2011,-12.7148969,1186.475006
Yemen,2012,2.392990209,1245.050683
Yemen,2013,4.823519067,1378.75003
Yemen,2014,-0.188690232,1430.16421
Yemen,2015,-27.99454625,1362.173794
Yemen,2016,-9.375123818,975.3594067
Yemen,2017,-5.071795639,811.1659639
Yemen,2018,0.752447588,633.887206
Yemen,2019,..,623.3761649
Yemen,2020,..,559.5646728
